Samples,s__Acetatifactor_muris,s__Acutalibacter_muris,s__Adlercreutzia_equolifaciens,s__Akkermansia_muciniphila,s__Anaerotruncus_sp_G3_2012,s__Asaccharobacter_celatus,s__Bacteroides_thetaiotaomicron,s__Clostridium_cocleatum,s__Clostridium_sp_ASF502,s__Dorea_sp_5_2,s__Dubosiella_newyorkensis,s__Enterococcus_faecalis,s__Enterorhabdus_caecimuris,s__Firmicutes_bacterium_ASF500,s__Lachnospiraceae_bacterium_28_4,s__Lachnospiraceae_bacterium_3_1,s__Lachnospiraceae_bacterium_3_2,s__Lachnospiraceae_bacterium_A2,s__Lachnospiraceae_bacterium_A4,s__Lachnospiraceae_bacterium_COE1,s__Lachnospiraceae_bacterium_M18_1,s__Lactobacillus_johnsonii,s__Lactococcus_lactis,s__Oscillibacter_sp_1_3,s__Parasutterella_excrementihominis,s__Proteobacteria_bacterium_CAG_139,s__Romboutsia_ilealis,s__Ruthenibacterium_lactatiformans,s__Staphylococcus_xylosus,s__Streptococcus_thermophilus,s__Terrisporobacter_othiniensis
S140_L007,0,0,0.09931,41.35034,0.37482,0.10816,11.41255,0.10888,0.00288,1.08988,0.04677,0.51152,0.01062,0.0023,12.85812,0,0,0.01862,0,0,0.5079,0.0521,28.94541,0,2.38309,0.04483,0,0,0,0.07191,0
S141_L007,0,0.00233,0.25416,0.36312,0.09435,0.24645,1.17974,0.09987,0,0.06779,0.01266,1.32587,0.02909,0,1.15988,0,0,0.00745,0.41782,0,0.04082,3.82787,90.4439,0,0.11445,0,0,0,0.01322,0.29918,0
S142_L007,0,0,0,2.4147,0,0,0.66414,0.17631,0,0,59.25161,0.50229,0,0,3.33329,0,0,2.14738,0,0,0.00094,0.01417,31.08926,0,0,0,0,0.11753,0,0.05506,0.23332
S146_L007,0.0197,0,0.0368,20.74626,1.76499,0.04995,6.52522,0.12668,0.14387,0.1354,30.39278,0.24782,0.01844,0.00739,4.58317,0,0,0,5.32664,0.1248,0.27006,0.16442,29.24383,0,0.01235,0,0,0,0,0.05944,0
S147_L007,0.00144,0,0.03045,8.46736,0.39752,0.03342,3.06632,0.0256,0.03367,0.02194,66.55537,0.08777,0.01176,0.00327,0.42725,0,0,0,4.07313,0.70194,0.03404,2.23444,13.78102,0.0123,0,0,0,0,0,0,0
S148_L007,0.00844,0,0.02691,10.05964,0.69895,0.02975,3.94738,0.07261,0.03007,0.0268,36.74382,0.17136,0.01274,0.00579,1.49949,0,0,0.00701,2.008,0.24018,0.03949,1.21183,42.91993,0.00414,0.1323,0,0,0,0,0.10336,0
S126_L007,1.29259,7.25414,0.01232,0.00809,0.4963,0.01553,3.07592,0,0.24472,3.11148,48.37036,0,0.0348,0,0.13374,0.00253,0,30.34979,1.71761,0,0.62744,2.01743,0.01113,0.01822,1.20586,0,0,0,0,0,0
S127_L007,0.02081,10.19557,0.02685,10.42067,0.10218,0.05753,7.18705,0,0.50055,5.05121,61.30398,0,0.06824,0,0.00242,0,0.0469,0.12427,0.05991,0,2.60107,1.94867,0,0,0.28212,0,0,0,0,0,0
S128_L007,0.05235,8.71458,0.03467,2.86401,0.11332,0.04247,1.70573,0,0.12582,1.76521,74.16894,0,0.04566,0,0,0,0,6.32814,0.00223,0,0.1691,3.70131,0,0,0.16645,0,0,0,0,0,0
S143_L007,0,0,0.02839,5.863,0.08444,0.0364,0.67524,0.01422,0.04965,0.02454,43.08174,0.0082,0.0146,0,8.36648,0,0,0,0,0,0.26342,36.04241,5.3556,0,0.06494,0,0.02287,0,0,0.00384,0
